"","Row","Col","Sample","Plate"
"2","A","1","E0151","E0151-E0246"
"3","B","1","E0152","E0151-E0246"
"4","C","1","E0153","E0151-E0246"
"5","D","1","E0154","E0151-E0246"
"6","E","1","E0155","E0151-E0246"
"7","F","1","E0156","E0151-E0246"
"8","G","1","E0157","E0151-E0246"
"9","H","1","E0158","E0151-E0246"
"10","A","2","E0159","E0151-E0246"
"11","B","2","E0160","E0151-E0246"
"12","C","2","E0161","E0151-E0246"
"13","D","2","E0162","E0151-E0246"
"14","E","2","E0163","E0151-E0246"
"15","F","2","E0164","E0151-E0246"
"16","G","2","E0165","E0151-E0246"
"17","H","2","E0166","E0151-E0246"
"18","A","3","E0167","E0151-E0246"
"19","B","3","E0168","E0151-E0246"
"20","C","3","E0169","E0151-E0246"
"21","D","3","E0170","E0151-E0246"
"22","E","3","E0171","E0151-E0246"
"23","F","3","E0172","E0151-E0246"
"24","G","3","E0173","E0151-E0246"
"25","H","3","E0174","E0151-E0246"
"26","A","4","E0175","E0151-E0246"
"27","B","4","E0176","E0151-E0246"
"28","C","4","E0177","E0151-E0246"
"29","D","4","E0178","E0151-E0246"
"30","E","4","E0179","E0151-E0246"
"31","F","4","E0180","E0151-E0246"
"32","G","4","E0181","E0151-E0246"
"33","H","4","E0182","E0151-E0246"
"34","A","5","E0183","E0151-E0246"
"35","B","5","E0184","E0151-E0246"
"36","C","5","E0185","E0151-E0246"
"37","D","5","E0186","E0151-E0246"
"38","E","5","E0187","E0151-E0246"
"39","F","5","E0188","E0151-E0246"
"40","G","5","E0189","E0151-E0246"
"41","H","5","E0190","E0151-E0246"
"42","A","6","E0191","E0151-E0246"
"43","B","6","E0192","E0151-E0246"
"44","C","6","E0193","E0151-E0246"
"45","D","6","E0194","E0151-E0246"
"46","E","6","E0195","E0151-E0246"
"47","F","6","E0196","E0151-E0246"
"48","G","6","E0197","E0151-E0246"
"49","H","6","E0198","E0151-E0246"
"50","A","7","E0199","E0151-E0246"
"51","B","7","E0200","E0151-E0246"
"52","C","7","E0201","E0151-E0246"
"53","D","7","E0202","E0151-E0246"
"54","E","7","E0203","E0151-E0246"
"55","F","7","E0204","E0151-E0246"
"56","G","7","E0205","E0151-E0246"
"57","H","7","E0206","E0151-E0246"
"58","A","8","E0207","E0151-E0246"
"59","B","8","E0208","E0151-E0246"
"60","C","8","E0209","E0151-E0246"
"61","D","8","E0210","E0151-E0246"
"62","E","8","E0211","E0151-E0246"
"63","F","8","E0212","E0151-E0246"
"64","G","8","E0214","E0151-E0246"
"65","H","8","E0215","E0151-E0246"
"66","A","9","E0213","E0151-E0246"
"67","B","9","E0216","E0151-E0246"
"68","C","9","E0217","E0151-E0246"
"69","D","9","E0218","E0151-E0246"
"70","E","9","E0219","E0151-E0246"
"71","F","9","E0220","E0151-E0246"
"72","G","9","E0221","E0151-E0246"
"73","H","9","E0222","E0151-E0246"
"74","A","10","E0223","E0151-E0246"
"75","B","10","E0224","E0151-E0246"
"76","C","10","E0225","E0151-E0246"
"77","D","10","E0226","E0151-E0246"
"78","E","10","E0227","E0151-E0246"
"79","F","10","E0228","E0151-E0246"
"80","G","10","E0229","E0151-E0246"
"81","H","10","E0230","E0151-E0246"
"82","A","11","E0231","E0151-E0246"
"83","B","11","E0232","E0151-E0246"
"84","C","11","E0233","E0151-E0246"
"85","D","11","E0234","E0151-E0246"
